FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA O MEDIO,MOVIL VICTIMA,MOVIL AGRESOR,EDAD,GENERO,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE,AÑO DE NACIMIENTO,CÉDULA,CORREO
01/01/2021 12:00:00 AM,ANTIOQUIA,AMAGÁ,Jueves,6:00,EL VOLCAN,RURAL,TIENDA,ARMA BLANCA,A PIE,A PIE,44.0,MASCULINO,CASADO,INDEPENDIENTE,NO REPORTADO,PRIMARIA,COLOMBIA,5030000.0,1971.0,42-908,agbnqg2122@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,BARBOSA,Jueves,9:00,VDA. MATASANOS,RURAL,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,30.0,MASCULINO,SOLTERO,DESEMPLEADO,NO REPORTADO,SECUNDARIA,NO REPORTADO,5079000.0,1985.0,15-183,rbkeui3584@gmail.com
01/01/2021 12:00:00 AM,ANTIOQUIA,EL BAGRE,Jueves,19:00,PUERTO CLAVER,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,33.0,MASCULINO,UNION LIBRE,AGRICULTOR,NO REPORTADO,PRIMARIA,COLOMBIA,5250000.0,1982.0,84-786,aorkhf9155@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,JARDÍN,Jueves,11:20,CRISTIANIA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,40.0,MASCULINO,CASADO,AGRICULTOR,NO REPORTADO,PRIMARIA,COLOMBIA,5364000.0,1975.0,31-289,dhtemr6623@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Juees,15:00,PICACHITO CNO REPORTADO6,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,CONTUNDENTES,A PIE,A PIE,66.0,MASCULINO,UNION LIBRE,DESEMPLEADO,NO REPORTADO,PRIMARIA,COLOMBIA,5001000.0,1949.0,66-363,artatj9268@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Juees,0:47,CORDOBA CNO REPORTADO7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,42.0,MASCULINO,SOLTERO,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,COLOMBIA,5001000.0,1973.0,54-450,grlcsj8696@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Jueves,11:00,CRISTO REY CNO REPORTADO15,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,25.0,MASCULINO,SOLTERO,DESEMPLEADO,NO REPORTADO,SECUNDARIA,COLOMBIA,5001000.0,1990.0,45-052,pkdakc6682@gmail.com
01/01/2021 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Jueves,19:35,LA SALLE  CNO REPORTADO3,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,37.0,MASCULINO,CASADO,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,COLOMBIA,5001000.0,1978.0,45-298,qledtq1884@gmail.com
01/01/2021 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Jueves,20:35,KENNEDY CNO REPORTADO6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,PASAJERO MOTOCICLETA,25.0,MASCULINO,SOLTERO,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,COLOMBIA,5001000.0,1990.0,37-281,mipgfg2758@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,MUTATÁ,Jueves,14:00,VDA CASA ROJA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,30.0,MASCULINO,SOLTERO,ETNIA INDIGENA,NO REPORTADO,SECUNDARIA,NO REPORTADO,5480000.0,1985.0,78-013,dgepmg5536@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,NECOCLÍ,Jueves,5:00,CGTO. EL TOTUMO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,41.0,MASCULINO,UNION LIBRE,AGRICULTOR,NO REPORTADO,PRIMARIA,COLOMBIA,5490000.0,1974.0,23-787,lngclq5845@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Jueves,23:30,SECTOR TERMINAL,URBANA,LOTE BALDIO,ARMA DE FUEGO,A PIE,A PIE,30.0,MASCULINO,SOLTERO,DESEMPLEADO,NO REPORTADO,ANALFABETA,COLOMBIA,5042000.0,1985.0,49-898,alsmgs8974@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,SEGOVIA,Jueves,9:30,GALAN,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,29.0,MASCULINO,SOLTERO,INDEPENDIENTE,NO REPORTADO,PRIMARIA,COLOMBIA,5736000.0,1986.0,98-587,inugoi5195@unidatos.edu.co
01/01/2021 12:00:00 AM,ANTIOQUIA,TÁMESIS,Jueves,14:00,SAN PABLO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,40.0,MASCULINO,SOLTERO,AGRICULTOR,NO REPORTADO,PRIMARIA,COLOMBIA,5789000.0,1975.0,39-330,nsirqk5181@gmail.com
01/01/2021 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Juees,14:40,LAS AMERICAS,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,21.0,MASCULINO,SOLTERO,INDEPENDIENTE,NO REPORTADO,PRIMARIA,COLOMBIA,8001000.0,1994.0,26-603,nnofur6404@unidatos.edu.co
01/01/2021 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Jueces,4:40,BARLOVENTO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20.0,MASCULINO,SOLTERO,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,COLOMBIA,8001000.0,1995.0,51-967,clfagt5842@unidatos.edu.co
01/01/2021 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Jueves,6:00,REBOLO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32.0,MASCULINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,COLOMBIA,8001000.0,1983.0,65-056,bspmmr7169@unidatos.edu.co
01/01/2021 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Jueves,9:50,REBOLO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,39.0,FEMENINO,SOLTERO,COMERCIANTE,NO REPORTADO,PRIMARIA,COLOMBIA,8001000.0,1976.0,33-026,ibuoap4440@unidatos.edu.co
01/01/2021 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Jueves,20:00,POR FIN,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,PASAJERO MOTOCICLETA,17.0,MASCULINO,SOLTERO,DESEMPLEADO,NO REPORTADO,SECUNDARIA,COLOMBIA,8001000.0,1998.0,83-291,qdqasa2516@unidatos.edu.co
01/01/2021 12:00:00 AM,ATLÁNTICO,SOLEDAD,juves,8:30,LAS MORAS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33.0,MASCULINO,SOLTERO,INDEPENDIENTE,NO REPORTADO,PRIMARIA,COLOMBIA,8758000.0,1982.0,52-287,shfbpo7917@gmail.com
01/01/2021 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Juevrs,7:25,VIEJO PORVENIR,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28.0,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,COLOMBIA,13001000.0,1987.0,67-286,oltuqp7633@gmail.com
01/01/2021 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Juees,7:50,OLAYA HERRERA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20.0,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,COLOMBIA,13001000.0,1995.0,68-207,qlsalf8118@gmail.com
01/01/2021 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Jueves,18:20,EL POZON,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,18.0,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,COLOMBIA,13001000.0,1997.0,12-513,uieile5235@gmail.com
01/01/2021 12:00:00 AM,BOYACÁ,EL COCUY,Juees,18:30,CENTRO,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,32.0,MASCULINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,COLOMBIA,15244000.0,1983.0,73-104,psahbq8570@gmail.com
01/01/2021 12:00:00 AM,CALDAS,MANIZALES (CT),Jueves,2:25,LINARES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23.0,MASCULINO,SOLTERO,DESEMPLEADO,NO REPORTADO,PRIMARIA,COLOMBIA,17001000.0,1992.0,29-093,mjaode4217@gmail.com
01/01/2021 12:00:00 AM,CALDAS,MANZANARES,Jueves,6:30,VDA LA UNION,RURAL,TIENDA,ARMA DE FUEGO,A PIE,A PIE,32.0,FEMENINO,UNION LIBRE,AMA DE CASA,NO REPORTADO,PRIMARIA,COLOMBIA,17433000.0,1983.0,31-907,lqgmsn5798@unidatos.edu.co
01/01/2021 12:00:00 AM,CALDAS,NORCASIA,Jueves,1:20,CENTRO,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA,A PIE,A PIE,38.0,MASCULINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,COLOMBIA,17495000.0,1977.0,81-127,gpumjf2145@gmail.com
01/01/2021 12:00:00 AM,CALDAS,VICTORIA,Jueves,22:30,CENTRO,URBANA,OFICINAS,CUERDA/SOGA/CADENA,A PIE,A PIE,50.0,FEMENINO,UNION LIBRE,AMA DE CASA,NO REPORTADO,PRIMARIA,COLOMBIA,17867000.0,1965.0,16-311,amstkm9969@unidatos.edu.co
01/01/2021 12:00:00 AM,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Jueces,15:00,CENTRO,URBANA,DISCOTECAS,ARMA DE FUEGO,A PIE,A PIE,24.0,MASCULINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADO,PRIMARIA,COLOMBIA,18610000.0,1991.0,94-565,correo975@unidatos.edu.co
01/01/2021 12:00:00 AM,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Jueves,0:30,SANTA ISABEL,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,42.0,MASCULINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADO,PRIMARIA,COLOMBIA,18753000.0,1973.0,20-565,ipeeun1893@unidatos.edu.co
01/01/2021 12:00:00 AM,CASANARE,TRINIDAD,Jueves,4:25,EL PALITO,RURAL,VIAS PUBLICAS,ARMA BLANCA,A PIE,CONDUCTOR MOTOCICLETA,25.0,MASCULINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,COLOMBIA,85430000.0,1990.0,32-425,gcdfpa5305@gmail.com
01/01/2021 12:00:00 AM,CAUCA,ALMAGUER,Juevrs,15:00,VEREDA TARABITA,RURAL,RIOS,ARMA DE FUEGO,A PIE,A PIE,30.0,MASCULINO,UNION LIBRE,AGRICULTOR,NO REPORTADO,PRIMARIA,COLOMBIA,19022000.0,1985.0,70-422,skqqtn4490@unidatos.edu.co
01/01/2021 12:00:00 AM,CAUCA,BOLÍVAR,Jueves,10:00,VDA GUAYABILLAS,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,42.0,MASCULINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADO,PRIMARIA,COLOMBIA,19100000.0,1973.0,67-078,jteacs7755@gmail.com
01/01/2021 12:00:00 AM,CAUCA,CAJIBÍO,Jueves,11:30,VDA CAMPOALEGRE,RURAL,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA,A PIE,A PIE,41.0,MASCULINO,UNION LIBRE,AGRICULTOR,NO REPORTADO,PRIMARIA,COLOMBIA,19130000.0,1974.0,15-174,klkust2304@unidatos.edu.co
01/01/2021 12:00:00 AM,CAUCA,CALOTO,Jueves,21:00,VDA HUASANO,RURAL,CASAS DE HABITACION,ARMA BLANCA,A PIE,A PIE,35.0,MASCULINO,SOLTERO,AGRICULTOR,NO REPORTADO,PRIMARIA,COLOMBIA,19142000.0,1980.0,28-738,ddpgtc1130@unidatos.edu.co
